Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,120,possedimenti iniziali,31/12/2018 14:10.38
Genius Card,77,Quantita iniziale,31/12/2018 14:19.59
YAP,0.50,Quantita iniziale,31/12/2018 14:21.25
YAP,10,Bonus ingresso Michelino,04/01/2019 19:22.16
Portafogli,-50,Capodanno al Fizzarotti,06/01/2019 15:48.28
Portafogli,-10,Compleanno/Onomastico Alessia Binetti (Sabato sera),06/01/2019 15:49.10
Genius Card,-62,Trasferimento dal conto -Genius Card- al conto -Portafogli-,08/01/2019 11:53.21
Portafogli,62,Trasferimento dal conto -Genius Card- al conto -Portafogli-,08/01/2019 11:53.21
Portafogli,-2,varie,08/01/2019 11:54.04
Portafogli,-100,Palestra  (Scadenza del: 27/12/2018),08/01/2019 11:54.17
Genius Card,461,Stipendio Cittadella Mediterranea della Scienza,08/01/2019 11:57.12
Genius Card,-25,Attivazione Satispay (torneranno),10/01/2019 13:02.04
YAP,-2.01,Acquisto su Aliexpress (10 tag NFC),10/01/2019 13:02.42
Portafogli,-15,Sabato sera,13/01/2019 18:33.33
Portafogli,-25,Sabato sera (sushi) + compleanno Donatella,20/01/2019 22:11.28
Genius Card,25,Ritorno quota Satispay,21/01/2019 14:08.48
Genius Card,-18,rifornimento GPL,22/01/2019 13:10.53
Portafogli,20,rimborso rifornimento GPL,22/01/2019 19:17.35
YAP,30,bonus YAP ingresso mamma,22/01/2019 19:18.51
Genius Card,-14.60,uscita a caso,23/01/2019 22:19.00
Genius Card,-70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,23/01/2019 22:19.29
Portafogli,70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,23/01/2019 22:19.29
Genius Card,-158,Prenotazione Hotel Pineta Wellness per San Valentino,25/01/2019 21:33.40
Genius Card,-10,Trasferimento dal conto -Genius Card- al conto -YAP-,26/01/2019 15:50.43
YAP,10,Trasferimento dal conto -Genius Card- al conto -YAP-,26/01/2019 15:50.43
Portafogli,-10,Trasferimento dal conto -Portafogli- al conto -YAP-,26/01/2019 15:51.00
YAP,10,Trasferimento dal conto -Portafogli- al conto -YAP-,26/01/2019 15:51.00
YAP,-42.90,shopping abbigliamento,26/01/2019 15:52.15
Portafogli,-5,sabato sera,27/01/2019 12:05.47
Genius Card,5,bonus satispay,28/01/2019 14:33.15
Genius Card,-18,Rifornimento GPL,29/01/2019 18:46.46
Genius Card,5,Risarcimento Amazon Prime (disattivato),31/01/2019 11:49.10
Portafogli,10,rimborso rifornimento GPL,01/02/2019 15:14.22
Portafogli,-10,Sabato sera,03/02/2019 20:45.22
Portafogli,-5,varie,04/02/2019 15:57.43
Portafogli,-10,Prestito a Fra,08/02/2019 18:50.29
Genius Card,-19,Rifornimento GPL,08/02/2019 18:50.41
Portafogli,10,Restituzione prestito Fra,08/02/2019 21:33.20
Genius Card,-5,Trasferimento dal conto -Genius Card- al conto -Portafogli-,10/02/2019 21:45.01
Portafogli,5,Trasferimento dal conto -Genius Card- al conto -Portafogli-,10/02/2019 21:45.01
YAP,-15,Trasferimento dal conto -YAP- al conto -Portafogli-,10/02/2019 21:45.19
Portafogli,15,Trasferimento dal conto -YAP- al conto -Portafogli-,10/02/2019 21:45.19
Portafogli,-5,pila nuova per orologio (e varie),12/02/2019 19:54.34
Portafogli,-15,parrucchiere,13/02/2019 18:40.33
Genius Card,248,Stipendio Cittadella Mediterranea della Scienza,15/02/2019 23:57.47
Portafogli,-15,Pranzo fuori casa (sanvalentino),18/02/2019 13:36.49
Genius Card,-4,varie,18/02/2019 13:36.57
Portafogli,-5,pranzo cittadella,22/02/2019 20:07.28
Portafogli,-10,cinema Green Book (bello!),22/02/2019 20:07.53
Genius Card,-19,Rifornimento GPL,22/02/2019 20:08.05
Portafogli,20,Rimborso rifonrimento GPL,23/02/2019 12:10.31
Portafogli,-10,Regalo compleanno Giulia Miccolis,24/02/2019 18:00.15
Genius Card,-10,Ricarica HO.  (Scadenza del: 24/2/2019),24/02/2019 18:01.19
Portafogli,-5,Uscita random domenicale,25/02/2019 17:17.13
Genius Card,-6,Trasferimento dal conto -Genius Card- al conto -YAP-,01/03/2019 18:27.10
YAP,6,Trasferimento dal conto -Genius Card- al conto -YAP-,01/03/2019 18:27.10
YAP,-3.93,acquisto su Aliexpress: torcia UV e tag NFC,01/03/2019 18:28.06
YAP,-0.10,correzione,01/03/2019 18:28.35
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/2/2019),04/03/2019 13:08.53
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/3/2019),04/03/2019 13:09.05
Genius Card,-3,commissioni poste,04/03/2019 13:09.52
Genius Card,-151.70,Shopping abbigliamento,07/03/2019 19:23.40
Genius Card,519,Stipendio Cittadella Mediterranea della Scienza,07/03/2019 19:25.47
Portafogli,-5,Fiori festa della donna per Alessandra,09/03/2019 16:35.30
Genius Card,-19,Rifornimento GPL,09/03/2019 16:35.55
Portafogli,-5,Uscita random domenica (Ritorno di Rita dall'Inghilterra),14/03/2019 16:03.54
Portafogli,-5,varie,14/03/2019 16:04.46
Genius Card,-19,Rifornimento GPL,16/03/2019 12:26.01
Portafogli,20,Risarcimento rifornimento GPL,16/03/2019 19:25.29
Genius Card,-27,Regalo compleano Alessandra (Diffusore di aromi),22/03/2019 21:36.31
Genius Card,-10,Ricarica Ho mobile,24/03/2019 09:56.58
