Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,120,possedimenti iniziali,31/12/2018 14:10.38
Genius Card,77,Quantità iniziale,31/12/2018 14:19.59
YAP,0.50,Quantità iniziale,31/12/2018 14:21.25
YAP,10,Bonus ingresso Michelino,04/01/2019 19:22.16
Portafogli,-50,Capodanno al Fizzarotti,06/01/2019 15:48.28
Portafogli,-10,Compleanno/Onomastico Alessia Binetti (Sabato sera),06/01/2019 15:49.10
Genius Card,-62,Trasferimento dal conto -Genius Card- al conto -Portafogli-,08/01/2019 11:53.21
Portafogli,62,Trasferimento dal conto -Genius Card- al conto -Portafogli-,08/01/2019 11:53.21
Portafogli,-2,varie,08/01/2019 11:54.04
Portafogli,-100,Palestra  (Scadenza del: 27/12/2018),08/01/2019 11:54.17
Genius Card,461,Stipendio Cittadella Mediterranea della Scienza,08/01/2019 11:57.12
Genius Card,-25,Attivazione Satispay (torneranno),10/01/2019 13:02.04
YAP,-2.01,Acquisto su Aliexpress (10 tag NFC),10/01/2019 13:02.42
Portafogli,-15,Sabato sera,13/01/2019 18:33.33
Portafogli,-25,Sabato sera (sushi) + compleanno Donatella,20/01/2019 22:11.28
Genius Card,25,Ritorno quota Satispay,21/01/2019 14:08.48
Genius Card,-18,rifornimento GPL,22/01/2019 13:10.53
Portafogli,20,rimborso rifornimento GPL,22/01/2019 19:17.35
YAP,30,bonus YAP ingresso mamma,22/01/2019 19:18.51
Genius Card,-14.60,uscita a caso,23/01/2019 22:19.00
Genius Card,-70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,23/01/2019 22:19.29
Portafogli,70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,23/01/2019 22:19.29
Genius Card,-158,Prenotazione Hotel Pineta Wellness per San Valentino,25/01/2019 21:33.40
Genius Card,-10,Trasferimento dal conto -Genius Card- al conto -YAP-,26/01/2019 15:50.43
YAP,10,Trasferimento dal conto -Genius Card- al conto -YAP-,26/01/2019 15:50.43
Portafogli,-10,Trasferimento dal conto -Portafogli- al conto -YAP-,26/01/2019 15:51.00
YAP,10,Trasferimento dal conto -Portafogli- al conto -YAP-,26/01/2019 15:51.00
