Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,76.3,,10/11/2014 11:26.39
Portafogli,-5,regalo per compleanno Giupi Tota,11/11/2014 20:32.34
Portafogli,0.8,trovati,13/11/2014 17:29.41
Portafogli,-5.5,uscita,15/11/2014 10:33.27
Portafogli,-7,sabato,19/11/2014 09:45.35
Portafogli,20,(pap… per la patente),19/11/2014 18:53.31
Portafogli,60.8,paghetta,26/11/2014 17:27.58
Portafogli,-3.5,uscita,29/11/2014 19:20.01
Portafogli,-5,sabato,30/11/2014 11:20.29
Portafogli,-5,sabato,07/12/2014 16:52.44
Portafogli,-10,ricarica cellulare,12/12/2014 10:07.42
Portafogli,-10,prestati,16/12/2014 18:22.31
Portafogli,-1.5,,18/12/2014 20:45.43
Portafogli,20,,20/12/2014 19:23.18
Portafogli,-15,regalo di natale per Aldo,20/12/2014 19:24.42
Portafogli,-5,sabat,22/12/2014 11:31.32
Portafogli,-14.3,pranzo vigilia di natale e varie,25/12/2014 20:23.54
Portafogli,22,regali natale e vincite giochi,25/12/2014 20:25.17
Portafogli,2,(RIVEDERE TUTTO),12/02/2015 20:42.45
Portafogli,-10,|(RIVEDERE TUTTO||CARTA CORRETTO)|,12/02/2015 20:43.18
Portafogli,50,da aggiustare,11/04/2015 09:50.50
Portafogli,-15,(approssimativo. da verificare),09/05/2015 19:11.59
Portafogli,-70,Da ricontare,09/05/2015 19:12.29
Portafogli,-50,DA RICONTARE,13/06/2015 20:49.23
