Nome Conto,Entrate/Uscite,Causale,Data
Genius Card,97,,07/10/2018 20:01.34
Portafogli,65,,07/10/2018 20:01.34
Portafogli,10,,07/10/2018 21:30.10
Portafogli,-5,gelato,13/10/2018 20:09.33
Portafogli,-20,sabato,15/10/2018 12:21.28
Genius Card,-94,viaggio irlanda,20/10/2018 10:00.35
Portafogli,-10,viaggio irlanda,20/10/2018 10:00.35
Portafogli,-30,hotel dublino,21/10/2018 16:32.59
Portafogli,-10,bowling,26/10/2018 18:33.20
Portafogli,85,,26/10/2018 19:38.36
Genius Card,300,albergo belfast,31/10/2018 15:23.40
Portafogli,-50,albergo belfast,31/10/2018 15:23.40
Genius Card,-5,amazon prime e sabato sera,06/11/2018 09:44.32
Portafogli,-5,amazon prime e sabato sera,06/11/2018 09:44.32
Genius Card,-17,scarpe,07/11/2018 11:10.55
Portafogli,-10,regalo Giupi,11/11/2018 14:31.34
Portafogli,245,stipendio,13/11/2018 12:28.50
Genius Card,-54,abiti,14/11/2018 22:02.31
Genius Card,-20,biglietti belfast. Sabato sera,18/11/2018 21:08.44
Portafogli,20,biglietti belfast. Sabato sera,18/11/2018 21:08.44
Genius Card,135,trasferimento pi— spese,20/11/2018 14:51.07
Portafogli,-160,trasferimento pi— spese,20/11/2018 14:51.07
Genius Card,-136,Viaggio Irlanda,29/11/2018 12:39.18
Portafogli,-20,Viaggio Irlanda,29/11/2018 12:39.18
Portafogli,-25,uscita + varie,30/11/2018 18:31.44
Portafogli,-5,varie,30/11/2018 18:32.07
Portafogli,-15,sabato e varie,05/12/2018 22:10.37
Genius Card,-18,benzina,05/12/2018 22:10.52
Genius Card,-5,AMAZON!,05/12/2018 22:11.46
Genius Card,-1,gioco steam,06/12/2018 21:57.18
Genius Card,112,stipendio Cittadella,06/12/2018 21:59.15
Genius Card,-102,Palestra,08/12/2018 17:17.56
Genius Card,-19,uscita e varie,11/12/2018 19:18.15
Genius Card,-18,GPL,13/12/2018 18:20.52
Portafogli,-25,regalo morciano,15/12/2018 18:27.49
Portafogli,-10,varie,15/12/2018 18:28.10
Portafogli,-25,Sabato + regalo compleanno Silvia,16/12/2018 12:04.36
Genius Card,-40,|Regalo di natale per Ale (plaid con maniche, collana)|,16/12/2018 21:28.11
Genius Card,-20,ricarica Yap mamma (per il bonus),18/12/2018 22:06.33
Portafogli,45,ritorno debito,22/12/2018 17:06.14
Portafogli,10,Sabato sera (pagato con yap),23/12/2018 15:43.06
Genius Card,-10,ricarica cellulare e uscita viglilia di natale,24/12/2018 19:56.26
Portafogli,-10,ricarica cellulare e uscita viglilia di natale,24/12/2018 19:56.26
Portafogli,20,natale,25/12/2018 12:33.11
Portafogli,40,regalo di natale,26/12/2018 11:56.47
Portafogli,20,regalo natale,26/12/2018 18:40.23
Genius Card,-3,acquisto ages of empires II su steam,28/12/2018 17:40.08
Portafogli,-5,pizza,30/12/2018 19:16.03
Genius Card,-5,Amazon.. di nuovo,31/12/2018 14:19.39
